Pays	Zone géographique	ID produit	Catégorie	Sous-catégorie	Nom du produit	Montant des ventes	Quantité	Remise	Profit	Retourné
France	Centre	FOU-AR-10004518	Fournitures de bureau	Art	Boston Marqueurs. Bleu	52.74	2	0	21.6	Non
Autriche	Centre	FOU-CL-10004729	Fournitures de bureau	Classeurs	Avery Perforatrice. Durable	58.74	2	0	20.52	Non
Autriche	Centre	MOB-BI-10003269	Mobilier	Bibliothèques	Safco Étagère d'angle. Classique	448.38	3	0	80.64	Non
Autriche	Centre	FOU-ÉL-10004885	Fournitures de bureau	Électroménager	Cuisinart Réfrigérateur. Argent	1987.32	4	0	337.8	Non
Autriche	Centre	FOU-AR-10003411	Fournitures de bureau	Art	Boston Toile. Métal	164.7	3	0	29.61	Non
Autriche	Centre	FOU-ST-10003595	Fournitures de bureau	Stockage	Smead Boîte. Métal	49.2	5	0	8.25	Non
Autriche	Centre	FOU-PA-10001010	Fournitures de bureau	Papier	SanDisk Ramette. Recyclé	148.5	5	0	66.75	Non
Autriche	Centre	MOB-ME-10004760	Mobilier	Meubles	Advantus Ampoule. Multi-emballage	40.26	2	0	8.04	Non
France	Centre	PRO-MA-10000461	Produits technologiques	Machines	Okidata Imprimante de cartes. Durable	299.115	2	0.15	-24.645	Non
France	Centre	FOU-ST-10003149	Fournitures de bureau	Stockage	Fellowes Rayonnage. Bleu	156.168	3	0.1	46.818	Non
France	Centre	FOU-PA-10002188	Fournitures de bureau	Papier	Xerox Papier à lettres. Par paquet de 12	245.55	5	0	39.15	Non
France	Centre	MOB-CH-10000450	Mobilier	Chaises	Harbour Creations Rocking chair. Réglable	403.866	3	0.1	98.676	Non
Allemagne	Centre	FOU-ÉL-10000150	Fournitures de bureau	Électroménager	Hamilton Beach Grille-pain. Rouge	103.518	2	0.1	-6.942	Non
Allemagne	Centre	PRO-AC-10003537	Produits technologiques	Accessoires	Logitech Routeur. Économique	741.96	3	0	59.31	Non
Espagne	Sud	FOU-ÉL-10002075	Fournitures de bureau	Éléments de fixation	Advantus Épingles. Tailles assorties	44.16	4	0	6.6	Non
Espagne	Sud	MOB-ME-10003883	Mobilier	Meubles	Tenex Cadre. Qualité supérieure	325.8	3	0	107.46	Non
Allemagne	Centre	FOU-CL-10004434	Fournitures de bureau	Classeurs	Acco Classeur. Clair	29.22	2	0	9.6	Non
Allemagne	Centre	FOU-AR-10000913	Fournitures de bureau	Art	BIC Carnet de croquis. Tailles assorties	414.72	8	0	62.16	Non
Allemagne	Centre	FOU-PA-10001473	Fournitures de bureau	Papier	Xerox Organiseur. Recyclé	40.56	2	0	12.54	Non
Allemagne	Centre	MOB-TA-10000783	Mobilier	Tables	Bevis Table ronde. Blanc	1691.235	5	0.35	-832.665	Non
Allemagne	Centre	PRO-PH-10000444	Produits technologiques	Photocopieurs	Canon Télécopieur et photocopieur. Couleur	963.9	5	0	231.3	Non
Allemagne	Centre	FOU-CL-10004987	Fournitures de bureau	Classeurs	Acco Machine à relier. Économique	255.45	5	0	73.95	Non
Royaume-Uni	Nord	FOU-AR-10002443	Fournitures de bureau	Art	Binney & Smith Stylos. Bleu	85.968	8	0.1	30.528	Non
Royaume-Uni	Nord	PRO-AC-10003188	Produits technologiques	Accessoires	Logitech Routeur. Programmable	671.814	3	0.1	194.004	Non
Allemagne	Centre	MOB-CH-10003638	Mobilier	Chaises	Hon Chaise pliante. Réglable	679.671	9	0.1	60.291	Non
Allemagne	Centre	MOB-BI-10003269	Mobilier	Bibliothèques	Safco Étagère d'angle. Classique	134.514	1	0.1	11.934	Non
Italie	Sud	FOU-EN-10004743	Fournitures de bureau	Enveloppes	Cameo Enveloppe à fermoir. Argent	83.37	7	0	19.95	Non
Italie	Sud	PRO-TÉ-10000296	Produits technologiques	Téléphones	Nokia Chargeur. Taille réelle	764.82	2	0.4	-369.72	Non
Italie	Sud	MOB-BI-10001752	Mobilier	Bibliothèques	Ikea Bibliothèque classique. Classique	1235.25	3	0	469.35	Non
Italie	Sud	FOU-ST-10003363	Fournitures de bureau	Stockage	Eldon Casiers. Bleu	474.984	4	0.4	-237.576	Non
Italie	Sud	FOU-ÉL-10004359	Fournitures de bureau	Éléments de fixation	Advantus Agrafes. Métal	21.96	2	0	9	Non
France	Centre	FOU-ST-10000155	Fournitures de bureau	Stockage	Fellowes Plateaux. Taille réelle	51.678	1	0.1	22.968	Non
Espagne	Sud	FOU-PA-10003666	Fournitures de bureau	Papier	Eaton Fiches mémo. Par paquet de 12	17.88	1	0	4.8	Non
Espagne	Sud	FOU-AR-10002763	Fournitures de bureau	Art	BIC Taille-crayon. Emballage en vrac	87.84	3	0	4.32	Non
France	Centre	FOU-AR-10001493	Fournitures de bureau	Art	Boston Surligneurs. Tailles assorties	110.25	5	0	19.8	Oui
France	Centre	FOU-ST-10004651	Fournitures de bureau	Stockage	Rogers Boîte. Industriel	66.015	3	0.1	-7.335	Oui
Autriche	Centre	FOU-ÉL-10001210	Fournitures de bureau	Électroménager	Hoover Micro-ondes. Blanc	2147.46	7	0	579.81	Oui
France	Centre	PRO-PH-10003525	Produits technologiques	Photocopieurs	HP Photocopieur personnel. Livré par deux	211.293	2	0.15	47.193	Non
France	Centre	FOU-CL-10001376	Fournitures de bureau	Classeurs	Ibico Couverture de classeur. Clair	52.44	4	0	3.6	Non
France	Centre	PRO-PH-10003112	Produits technologiques	Photocopieurs	Sharp Télécopieur et photocopieur. Couleur	1011.738	7	0.15	404.628	Non
France	Centre	FOU-ST-10001977	Fournitures de bureau	Stockage	Eldon Rayonnage. Industriel	97.8	5	0.6	-139.5	Non
France	Centre	PRO-AC-10001599	Produits technologiques	Accessoires	SanDisk Souris. Durable	19.26	1	0.5	-11.97	Non
France	Centre	PRO-MA-10004186	Produits technologiques	Machines	Panasonic Imprimante de tickets. Blanc	304.2405	3	0.15	71.5005	Non
France	Centre	FOU-ÉL-10003801	Fournitures de bureau	Éléments de fixation	Stockwell Élastiques. Métal	48.78	3	0	24.39	Non
Italie	Sud	MOB-ME-10002326	Mobilier	Meubles	Advantus Plateau d'empilement. Multi-emballage	105.72	4	0	29.52	Non
Italie	Sud	FOU-AR-10000331	Fournitures de bureau	Art	Binney & Smith Surligneurs. Métal	71.4	4	0	5.64	Non
Espagne	Sud	PRO-PH-10003184	Produits technologiques	Photocopieurs	Sharp Télécopieur. Livré par deux	2069.55	7	0	186.06	Non
Allemagne	Centre	FOU-ÉL-10004910	Fournitures de bureau	Éléments de fixation	Advantus Colliers. Métal	19.41	1	0	8.91	Non
Allemagne	Centre	FOU-PA-10001067	Fournitures de bureau	Papier	Xerox Cahier. Multicolore	55.56	2	0	13.86	Non
Allemagne	Centre	FOU-AR-10000828	Fournitures de bureau	Art	Sanford Taille-crayon. Emballage en vrac	130.5	5	0	33.9	Non
Italie	Sud	FOU-EN-10002531	Fournitures de bureau	Enveloppes	Jiffy Enveloppe professionnelle. Livré par 50	31.92	2	0	1.86	Non
Italie	Sud	PRO-PH-10004429	Produits technologiques	Photocopieurs	Sharp Encre. Rouge	490.44	4	0	39.12	Non
Allemagne	Centre	MOB-CH-10000002	Mobilier	Chaises	Office Star Chaise de plage. Livré par deux	323.064	7	0.2	-60.606	Non
Allemagne	Centre	PRO-AC-10000454	Produits technologiques	Accessoires	Enermax Clé USB. Programmable	154.872	4	0.1	44.712	Non
Allemagne	Centre	PRO-TÉ-10004140	Produits technologiques	Téléphones	Nokia Smartphone. Taille réelle	335.988	3	0.1	37.278	Non
Italie	Sud	FOU-ÉL-10000564	Fournitures de bureau	Électroménager	Hoover Plaque de cuisson. Rouge	3979.29	7	0	1989.54	Non
Italie	Sud	MOB-ME-10001777	Mobilier	Meubles	Eldon Butée de porte. Durable	188.76	4	0	39.6	Non
France	Centre	FOU-FO-10002259	Fournitures de bureau	Fournitures	Stiletto Ciseaux. Bleu	384.72	8	0	34.56	Non
Italie	Sud	FOU-AR-10004236	Fournitures de bureau	Art	BIC Toile. Bleu	268.5	5	0	21.45	Non
Italie	Sud	PRO-PH-10003064	Produits technologiques	Photocopieurs	Canon Télécopieur. Rouge	949.77	3	0	113.94	Non
Italie	Sud	PRO-TÉ-10003500	Produits technologiques	Téléphones	Samsung Chargeur. Tailles assorties	2683.8	7	0.4	-1476.09	Non
Italie	Sud	PRO-AC-10002330	Produits technologiques	Accessoires	Logitech Clé USB. Économique	91.53	3	0	39.33	Non
Italie	Sud	FOU-ST-10004036	Fournitures de bureau	Stockage	Tenex Dossiers. Métal	53.496	4	0.4	7.056	Non
France	Centre	FOU-ÉT-10001256	Fournitures de bureau	Étiquettes	Smead Étiquettes légales. Blanc	44.4	4	0	2.64	Non
France	Centre	PRO-TÉ-10004058	Produits technologiques	Téléphones	Cisco Smartphone. Tailles assorties	360.3915	3	0.15	-21.2085	Non
France	Centre	PRO-MA-10000149	Produits technologiques	Machines	Okidata Imprimante de tickets. Blanc	103.122	1	0.15	-10.938	Non
France	Centre	FOU-ÉL-10003688	Fournitures de bureau	Éléments de fixation	Stockwell Épingles. Emballage en vrac	78.84	6	0	19.62	Non
France	Centre	FOU-CL-10001376	Fournitures de bureau	Classeurs	Ibico Couverture de classeur. Clair	52.44	4	0	3.6	Non
France	Centre	MOB-ME-10001207	Mobilier	Meubles	Eldon Cadre photo. Qualité supérieure	113.46	2	0	38.52	Non
Allemagne	Centre	FOU-ST-10002526	Fournitures de bureau	Stockage	Rogers Dossiers. Taille réelle	27.648	1	0.1	-0.642	Non
Allemagne	Centre	FOU-FO-10003131	Fournitures de bureau	Fournitures	Kleencut Cutter. Rectangulaire	94.05	3	0	20.61	Non
Royaume-Uni	Nord	PRO-AC-10003659	Produits technologiques	Accessoires	Memorex Carte mémoire. Recyclé	360.288	4	0.1	31.968	Non
Royaume-Uni	Nord	FOU-ST-10000890	Fournitures de bureau	Stockage	Fellowes Plateaux. Métal	152.442	3	0.1	25.362	Non
Espagne	Sud	MOB-ME-10001179	Mobilier	Meubles	Advantus Butée de porte. Multi-emballage	180.36	4	0	10.8	Non
Allemagne	Centre	FOU-CL-10002918	Fournitures de bureau	Classeurs	Acco Renforts de perforations. Économique	6.66	1	0	0.57	Non
France	Centre	MOB-CH-10001339	Mobilier	Chaises	Novimex Fauteuil. Livré par deux	414.18	1	0.1	115.05	Oui
France	Centre	FOU-EN-10004228	Fournitures de bureau	Enveloppes	Jiffy Auto-adhésive. Rouge	47.1	2	0	8.94	Non
France	Centre	PRO-TÉ-10003832	Produits technologiques	Téléphones	Nokia Casque. Tailles assorties	129.132	2	0.15	10.632	Non
France	Centre	MOB-CH-10004513	Mobilier	Chaises	Office Star Chaise pliante. Noir	241.056	3	0.1	-26.784	Non
France	Centre	PRO-AC-10003903	Produits technologiques	Accessoires	Belkin Carte mémoire. Durable	460.08	4	0	0	Non
France	Centre	PRO-PH-10002835	Produits technologiques	Photocopieurs	Sharp Télécopieur. Rouge	1248.8625	5	0.15	88.0125	Non
Allemagne	Centre	FOU-ST-10002208	Fournitures de bureau	Stockage	Smead Rayonnage. Métal	216	5	0.1	86.4	Non
Allemagne	Centre	PRO-PH-10000262	Produits technologiques	Photocopieurs	Brother Encre. Livré par deux	441.9	3	0	0	Non
Royaume-Uni	Nord	PRO-PH-10000964	Produits technologiques	Photocopieurs	Canon Photocopieur. Couleur	263.58	1	0	65.88	Non
Royaume-Uni	Nord	PRO-TÉ-10004994	Produits technologiques	Téléphones	Motorola Amplificateur de signal. Bleu	286.26	2	0	114.48	Non
Autriche	Centre	FOU-ST-10002409	Fournitures de bureau	Stockage	Smead Casiers. Industriel	596.7	3	0	167.04	Non
Italie	Sud	FOU-ÉT-10002397	Fournitures de bureau	Étiquettes	Smead Étiquettes d'expédition. Rouge	68.58	6	0	16.38	Non
Italie	Sud	PRO-PH-10004553	Produits technologiques	Photocopieurs	Canon Encre. Couleur	297.18	2	0	56.46	Non
Italie	Sud	FOU-ST-10000387	Fournitures de bureau	Stockage	Tenex Casiers. Métal	487.728	4	0.4	-73.272	Non
Italie	Sud	FOU-AR-10001361	Fournitures de bureau	Art	BIC Carnet de croquis. Métal	499.2	10	0	164.7	Non
Italie	Sud	FOU-FO-10004832	Fournitures de bureau	Fournitures	Acme Ciseaux. Rectangulaire	88.56	4	0	5.28	Non
Italie	Sud	FOU-AR-10001216	Fournitures de bureau	Art	Binney & Smith Stylos. Tailles assorties	30.24	2	0	10.86	Non
Italie	Sud	PRO-PH-10000072	Produits technologiques	Photocopieurs	HP Télécopieur sans fil. Couleur	723.3	2	0	7.2	Non
Italie	Sud	FOU-CL-10001663	Fournitures de bureau	Classeurs	Acco Classeur. Durable	133.2	8	0	37.2	Non
France	Centre	FOU-EN-10001584	Fournitures de bureau	Enveloppes	GlobeWeis Enveloppe kraft. Argent	208.53	7	0	1.89	Non
France	Centre	FOU-ST-10002344	Fournitures de bureau	Stockage	Rogers Plateaux. Métal	164.025	3	0.1	71.055	Non
Irlande	Nord	MOB-CH-10004869	Mobilier	Chaises	Hon Chaise pliante. Rouge	122.13	3	0.5	-7.38	Non
Espagne	Sud	MOB-ME-10002352	Mobilier	Meubles	Advantus Horloge. Multi-emballage	51.45	1	0	6.15	Non
Allemagne	Centre	MOB-BI-10002507	Mobilier	Bibliothèques	Bush Bibliothèque. Blanc	680.562	6	0.1	83.142	Non
Allemagne	Centre	FOU-AR-10003949	Fournitures de bureau	Art	Stanley Taille-crayon. Métal	182.28	7	0	61.95	Non
France	Centre	FOU-CL-10004373	Fournitures de bureau	Classeurs	Avery Machine à relier. Durable	201.36	4	0	12	Non
Royaume-Uni	Nord	FOU-AR-10003446	Fournitures de bureau	Art	Sanford Toile. Métal	51.78	1	0	19.14	Non
Royaume-Uni	Nord	FOU-FO-10002615	Fournitures de bureau	Fournitures	Fiskars Coupe-papier. Rectangulaire	49.26	2	0	9.3	Non
Espagne	Sud	PRO-TÉ-10001121	Produits technologiques	Téléphones	Nokia Smartphone. Emballage en vrac	1330.992	12	0.1	-103.608	Non
Espagne	Sud	MOB-ME-10003873	Mobilier	Meubles	Advantus Horloge. Noir	154.17	3	0	44.64	Non
Espagne	Sud	FOU-ST-10002196	Fournitures de bureau	Stockage	Tenex Chariot. Industriel	1332.639	11	0.1	547.569	Non
France	Centre	MOB-CH-10003947	Mobilier	Chaises	Office Star Fauteuil. Livré par deux	2958.984	7	0.1	953.274	Non
France	Centre	FOU-AR-10002710	Fournitures de bureau	Art	Stanley Marqueurs. Métal	70.38	3	0	23.85	Non
Royaume-Uni	Nord	MOB-ME-10002259	Mobilier	Meubles	Rubvermaid Ampoule. Durable	19.044	2	0.4	-0.036	Non
Royaume-Uni	Nord	FOU-CL-10004198	Fournitures de bureau	Classeurs	Ibico Machine à relier. Économique	231.39	5	0.1	-2.61	Non
Allemagne	Centre	FOU-ST-10000153	Fournitures de bureau	Stockage	Fellowes Chariot. Métal	245.484	2	0.1	29.964	Non
Espagne	Sud	FOU-AR-10002287	Fournitures de bureau	Art	Binney & Smith Marqueurs. Tailles assorties	190.89	7	0	32.34	Non
Espagne	Sud	MOB-TA-10001292	Mobilier	Tables	Chromcraft Table basse. Assemblé	214.848	2	0.6	-247.092	Non
Pays-Bas	Centre	FOU-AR-10004093	Fournitures de bureau	Art	Boston Toile. Emballage en vrac	26.955	1	0.5	-14.565	Non
Royaume-Uni	Nord	FOU-ÉL-10004323	Fournitures de bureau	Éléments de fixation	Advantus Punaises. Tailles assorties	47.52	4	0	9.48	Non
Finlande	Nord	PRO-MA-10003003	Produits technologiques	Machines	StarTech Imprimante. Multicolore	768.51	3	0	169.02	Non
Finlande	Nord	PRO-AC-10003868	Produits technologiques	Accessoires	Enermax Carte mémoire. Recyclé	224.4	2	0	105.42	Non
France	Centre	FOU-AR-10004414	Fournitures de bureau	Art	Binney & Smith Stylos. Métal	13.2	1	0	0.24	Non
France	Centre	FOU-ST-10002787	Fournitures de bureau	Stockage	Rogers Chariot. Taille réelle	127.467	1	0.1	22.647	Non
France	Centre	FOU-CL-10004542	Fournitures de bureau	Classeurs	Avery Classeur. Clair	98.88	8	0	9.84	Non
Italie	Sud	FOU-AR-10001144	Fournitures de bureau	Art	Boston Carnet de croquis. Bleu	486	10	0	208.8	Non
Italie	Sud	MOB-TA-10004326	Mobilier	Tables	Barricks Table d'enseignement. Assemblé	319.77	2	0.5	-76.77	Non
Italie	Sud	FOU-PA-10000276	Fournitures de bureau	Papier	Green Bar Fiches mémo. Multicolore	165.24	9	0	59.4	Non
Italie	Sud	MOB-CH-10001339	Mobilier	Chaises	Novimex Fauteuil. Livré par deux	920.4	5	0.6	-575.25	Non
Royaume-Uni	Nord	PRO-PH-10003112	Produits technologiques	Photocopieurs	Sharp Télécopieur et photocopieur. Couleur	1190.28	7	0	583.17	Non
Allemagne	Centre	FOU-AR-10003353	Fournitures de bureau	Art	Binney & Smith Surligneurs. Emballage en vrac	84.3	5	0	30.3	Non
Espagne	Sud	FOU-ST-10003143	Fournitures de bureau	Stockage	Fellowes Rayonnage. Industriel	419.904	8	0.1	158.544	Non
Espagne	Sud	FOU-ÉL-10002430	Fournitures de bureau	Éléments de fixation	Stockwell Élastiques. Tailles assorties	13.59	1	0	6.78	Non
Allemagne	Centre	PRO-PH-10000245	Produits technologiques	Photocopieurs	Canon Télécopieur sans fil. Livré par deux	757.32	2	0	371.04	Non
Danemark	Nord	FOU-FO-10004240	Fournitures de bureau	Fournitures	Elite Rasoir. Acier	102.675	5	0.5	-2.175	Non
Danemark	Nord	FOU-ST-10004207	Fournitures de bureau	Stockage	Eldon Chariot. Taille réelle	191.88	3	0.5	-122.85	Non
Danemark	Nord	PRO-MA-10003212	Produits technologiques	Machines	Panasonic Imprimante de cartes. Blanc	430.575	5	0.5	-103.425	Non
Allemagne	Centre	PRO-PH-10000180	Produits technologiques	Photocopieurs	Sharp Télécopieur. Numérique	1771.74	6	0	0	Non
Allemagne	Centre	FOU-ST-10003889	Fournitures de bureau	Stockage	Rogers Boîte. Bleu	86.292	4	0.1	-7.788	Non
Pays-Bas	Centre	FOU-CL-10003822	Fournitures de bureau	Classeurs	Wilson Jones Classeur. Clair	12.48	2	0.5	-10.5	Non
France	Centre	FOU-ST-10002845	Fournitures de bureau	Stockage	Tenex Dossiers. Taille réelle	83.7	4	0.1	10.14	Non
Belgique	Centre	FOU-ST-10001175	Fournitures de bureau	Stockage	Eldon Chariot. Industriel	641.85	5	0	275.85	Non
Belgique	Centre	FOU-CL-10004729	Fournitures de bureau	Classeurs	Avery Perforatrice. Durable	146.85	5	0	51.3	Non
Belgique	Centre	FOU-AR-10000948	Fournitures de bureau	Art	Stanley Carnet de croquis. Emballage en vrac	89.4	2	0	16.98	Non
Belgique	Centre	FOU-AR-10001661	Fournitures de bureau	Art	Sanford Carnet de croquis. Métal	280.44	6	0	131.76	Non
Italie	Sud	PRO-TÉ-10002816	Produits technologiques	Téléphones	Apple Amplificateur de signal. Tailles assorties	251.1	3	0.4	-62.82	Non
Suisse	Centre	FOU-AR-10003356	Fournitures de bureau	Art	Sanford Carnet de croquis. Bleu	318.36	7	0	9.45	Non
France	Centre	FOU-FO-10001129	Fournitures de bureau	Fournitures	Acme Cutter. Industriel	78.84	2	0	38.58	Non
France	Centre	MOB-CH-10003873	Mobilier	Chaises	Harbour Creations Tabouret. Noir	319.842	2	0.1	81.702	Non
France	Centre	FOU-CL-10004434	Fournitures de bureau	Classeurs	Acco Classeur. Clair	29.22	2	0	9.6	Non
Royaume-Uni	Nord	FOU-AR-10002783	Fournitures de bureau	Art	BIC Toile. Métal	274.8	5	0	96.15	Non
Royaume-Uni	Nord	FOU-ÉT-10002857	Fournitures de bureau	Étiquettes	Avery Étiquettes de dossier. Blanc	18.24	2	0	7.98	Non
France	Centre	FOU-AR-10003128	Fournitures de bureau	Art	Sanford Marqueurs. Emballage en vrac	94.08	4	0	1.8	Non
France	Centre	MOB-BI-10001011	Mobilier	Bibliothèques	Sauder Armoire. Noir	453.681	3	0.1	65.511	Non
France	Centre	PRO-TÉ-10001470	Produits technologiques	Téléphones	Samsung Dispositif audio. Taille réelle	285.804	2	0.15	-6.756	Non
France	Centre	MOB-BI-10002170	Mobilier	Bibliothèques	Safco Bibliothèque. Métal	267.192	2	0.1	17.772	Non
Espagne	Sud	PRO-TÉ-10001895	Produits technologiques	Téléphones	Apple Téléphone de bureau. Taille réelle	179.739	3	0.1	67.869	Non
Espagne	Sud	PRO-TÉ-10001851	Produits technologiques	Téléphones	Apple Casque. Emballage en vrac	66.015	1	0.1	2.925	Non
Espagne	Sud	FOU-CL-10001585	Fournitures de bureau	Classeurs	Acco Machine à relier. Recyclé	154.35	3	0	38.52	Non
Royaume-Uni	Nord	FOU-EN-10002613	Fournitures de bureau	Enveloppes	Cameo Enveloppe interservices. Argent	348.81	7	0	34.86	Non
France	Centre	FOU-CL-10001465	Fournitures de bureau	Classeurs	Avery Couverture de classeur. Économique	33.21	3	0	10.26	Non
France	Centre	MOB-BI-10002282	Mobilier	Bibliothèques	Sauder Bibliothèque. Noir	1050.246	3	0.1	-23.364	Non
France	Centre	MOB-CH-10001808	Mobilier	Chaises	Hon Tabouret. Rouge	883.71	6	0.1	49.05	Non
France	Centre	MOB-CH-10000597	Mobilier	Chaises	Harbour Creations Fauteuil. Noir	1272.186	3	0.1	551.196	Non
France	Centre	PRO-PH-10002624	Produits technologiques	Photocopieurs	HP Encre. Rouge	323.595	3	0.15	-34.335	Non
France	Centre	PRO-PH-10001725	Produits technologiques	Photocopieurs	Sharp Encre. Couleur	106.9725	1	0.15	40.2525	Non
Royaume-Uni	Nord	PRO-MA-10004137	Produits technologiques	Machines	Panasonic Calculatrice. Durable	201.6	4	0	28.2	Non
Royaume-Uni	Nord	FOU-ST-10001242	Fournitures de bureau	Stockage	Rogers Rayonnage. Industriel	62.61	1	0	18.78	Non
Allemagne	Centre	MOB-TA-10001854	Mobilier	Tables	Chromcraft Table en bois. Noir	940.914	3	0.35	-202.716	Non
France	Centre	FOU-AR-10000102	Fournitures de bureau	Art	Sanford Surligneurs. Emballage en vrac	16.02	1	0	0.63	Non
France	Centre	MOB-CH-10000605	Mobilier	Chaises	Office Star Fauteuil. Noir	837	2	0.1	288.3	Non
France	Centre	FOU-ST-10000495	Fournitures de bureau	Stockage	Smead Plateaux. Industriel	88.128	2	0.1	22.488	Non
Italie	Sud	FOU-ÉT-10003172	Fournitures de bureau	Étiquettes	Hon Étiquettes couleur. Ajustable	32.13	3	0	5.13	Non
Italie	Sud	FOU-CL-10004373	Fournitures de bureau	Classeurs	Avery Machine à relier. Durable	50.34	1	0	3	Non
Italie	Sud	FOU-ST-10000155	Fournitures de bureau	Stockage	Fellowes Plateaux. Taille réelle	137.808	4	0.4	22.968	Non
Allemagne	Centre	PRO-TÉ-10000161	Produits technologiques	Téléphones	Motorola Dispositif audio. Emballage en vrac	780.57	5	0.1	164.67	Non
Pays-Bas	Centre	MOB-CH-10002250	Mobilier	Chaises	Novimex Chaise pliante. Livré par deux	84.48	2	0.5	-76.08	Non
France	Centre	PRO-PH-10004649	Produits technologiques	Photocopieurs	Hewlett Télécopieur et photocopieur. Rouge	487.2285	3	0.15	51.5385	Non
Royaume-Uni	Nord	FOU-ÉL-10001831	Fournitures de bureau	Éléments de fixation	Advantus Épingles. Métal	41.13	3	0	7.74	Non
Royaume-Uni	Nord	PRO-AC-10001108	Produits technologiques	Accessoires	Belkin Clavier. Recyclé	388.92	7	0	58.17	Non
Royaume-Uni	Nord	MOB-BI-10003160	Mobilier	Bibliothèques	Sauder Étagère d'angle. Classique	441.9	3	0	30.87	Non
Royaume-Uni	Nord	PRO-MA-10001276	Produits technologiques	Machines	Epson Imprimante de cartes. Rouge	1002.6	6	0	451.08	Non
Royaume-Uni	Nord	FOU-CL-10001473	Fournitures de bureau	Classeurs	Cardinal Couverture de classeur. Clair	57.3	5	0	14.85	Non
France	Centre	PRO-PH-10003579	Produits technologiques	Photocopieurs	Brother Télécopieur sans fil. Livré par deux	643.977	2	0.15	166.617	Non
Italie	Sud	FOU-AR-10002892	Fournitures de bureau	Art	Sanford Surligneurs. Métal	68.04	4	0	28.56	Non
France	Centre	FOU-ÉT-10002016	Fournitures de bureau	Étiquettes	Hon Étiquettes légales. Blanc	32.58	3	0	5.85	Non
France	Centre	FOU-ÉT-10003705	Fournitures de bureau	Étiquettes	Novimex Étiquettes couleur. Blanc	37.26	3	0	8.91	Non
France	Centre	FOU-PA-10000587	Fournitures de bureau	Papier	SanDisk Ramette. Par paquet de 12	67.86	2	0	7.44	Non
France	Centre	MOB-BI-10000315	Mobilier	Bibliothèques	Ikea Bibliothèque classique. Métal	1850.445	5	0.1	184.995	Oui
France	Centre	FOU-AR-10004906	Fournitures de bureau	Art	BIC Taille-crayon. Tailles assorties	450.66	14	0	170.94	Oui
Royaume-Uni	Nord	FOU-FO-10003131	Fournitures de bureau	Fournitures	Kleencut Cutter. Rectangulaire	31.35	2	0.5	-17.61	Non
France	Centre	PRO-MA-10004137	Produits technologiques	Machines	Panasonic Calculatrice. Durable	171.36	4	0.15	-2.04	Non
France	Centre	FOU-ST-10000697	Fournitures de bureau	Stockage	Tenex Boîte. Industriel	45.846	3	0.1	18.846	Non
France	Centre	FOU-CL-10001111	Fournitures de bureau	Classeurs	Ibico Couverture de classeur. Durable	45.45	3	0	5.4	Non
France	Centre	PRO-TÉ-10001121	Produits technologiques	Téléphones	Nokia Smartphone. Emballage en vrac	209.508	2	0.15	-29.592	Non
France	Centre	PRO-PH-10001780	Produits technologiques	Photocopieurs	Sharp Photocopieur. Livré par deux	1220.94	6	0.15	416.52	Non
France	Centre	MOB-ME-10000007	Mobilier	Meubles	Deflect-O Plateau d'empilement. Durable	44.64	2	0	1.74	Non
Royaume-Uni	Nord	FOU-ST-10003672	Fournitures de bureau	Stockage	Smead Boîte. Industriel	11.25	2	0.5	-9.45	Non
Royaume-Uni	Nord	FOU-ÉL-10004124	Fournitures de bureau	Éléments de fixation	OIC Épingles. Tailles assorties	40.32	7	0.5	-8.19	Non
Royaume-Uni	Nord	FOU-AR-10003411	Fournitures de bureau	Art	Boston Toile. Métal	219.6	8	0.5	-140.64	Non
Royaume-Uni	Nord	PRO-AC-10004996	Produits technologiques	Accessoires	Belkin Souris. Programmable	21.105	1	0.5	-13.515	Non
France	Centre	FOU-AR-10002182	Fournitures de bureau	Art	Boston Stylos. Tailles assorties	69.6	4	0	6.24	Non
France	Centre	FOU-AR-10003128	Fournitures de bureau	Art	Sanford Marqueurs. Emballage en vrac	70.56	3	0	1.35	Non
France	Centre	FOU-CL-10002696	Fournitures de bureau	Classeurs	Ibico Classeur. Économique	108.36	7	0	30.24	Non
Espagne	Sud	MOB-CH-10003602	Mobilier	Chaises	SAFCO Fauteuil. Réglable	1484.544	4	0.2	-241.296	Non
Espagne	Sud	FOU-CL-10004542	Fournitures de bureau	Classeurs	Avery Classeur. Clair	12.36	1	0	1.23	Non
Espagne	Sud	FOU-ÉL-10003398	Fournitures de bureau	Éléments de fixation	Advantus Trombones. Tailles assorties	114	10	0	17.1	Non
Pays-Bas	Centre	FOU-ÉL-10001212	Fournitures de bureau	Éléments de fixation	Stockwell Colliers. Par paquet de 12	18.66	2	0.5	-0.78	Non
Belgique	Centre	FOU-AR-10002453	Fournitures de bureau	Art	Boston Toile. Tailles assorties	397.74	7	0	59.64	Non
Allemagne	Centre	FOU-ÉL-10001270	Fournitures de bureau	Électroménager	Hoover Blender. Blanc	171.558	2	0.1	47.598	Non
Espagne	Sud	FOU-EN-10004899	Fournitures de bureau	Enveloppes	Cameo Enveloppe kraft. Recyclé	129	5	0	55.35	Non
France	Centre	FOU-ÉL-10002075	Fournitures de bureau	Éléments de fixation	Advantus Épingles. Tailles assorties	44.16	4	0	6.6	Oui
